sex,race_ethnicity,Mean Rate,Count
Male,Not Hispanic or Latino: Native Hawaiian or Other Pacific Islander,17.7,1
Male,Not Hispanic or Latino: White,15.42,12
Male,Not Hispanic or Latino: American Indian or Alaska Native,14.33,10
Male,Not Hispanic or Latino: Black,13.88,12
Male,White,13.62,12
Male,Black or African American,13.48,12
Male,All,12.48,6
All,All,9.1,6
Male,American Indian or Alaska Native,8.94,10
Female,Not Hispanic or Latino: American Indian or Alaska Native,8.5,10
Female,Not Hispanic or Latino: White,7.62,12
Male,Hispanic or Latino: All races,7.22,12
Female,White,6.47,12
Female,All,5.7,6
Female,American Indian or Alaska Native,5.44,10
Female,Not Hispanic or Latino: Black,4.98,12
Female,Black or African American,4.78,12
Male,Asian or Pacific Islander,2.22,5
Female,Hispanic or Latino: All races,2.15,12
Male,Not Hispanic or Latino: Asian or Pacific Islander,2.14,5
Male,Not Hispanic or Latino: Asian,1.82,5
Female,Not Hispanic or Latino: Asian,0.78,4
Female,Asian or Pacific Islander,0.76,5
Female,Not Hispanic or Latino: Asian or Pacific Islander,0.76,5
